frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,,,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,6,,,
00240,,,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,6,,,
00255,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,6,,,
00270,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,6,,,
00285,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,7,,,
00300,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,7,,,
00315,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,7,,,
00330,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,7,,,
00345,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,7,,,
00360,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,7,,,
00375,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,8,,,
00390,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,8,,,
00405,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,8,,,
00420,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,8,,,
00435,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,8,,,
00450,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,9,,,
00465,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,9,,,
00480,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,9,,,
00495,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,9,,,
00510,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,9,,,
00525,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,9,,,
00540,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,10,,,
00555,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,10,,,
00570,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Bandit,5.0,,,,10,,,
00585,Lava Hound,59.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,7,,,
00600,Hog Rider,51.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,7,,,
00615,Lava Hound,59.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,7,,,
00630,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,7,,,
00645,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,7,,,
00660,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,7,,,
00675,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,8,,,
00690,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,8,,,
00705,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,8,,,
00720,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,8,,,
00735,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,8,,,
00750,Three Musketeers,99.0,Hunter,52.0,Ice Golem,53.0,Barbarian Barrel,6.0,,,,9,,,
00765,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,7,,,
00780,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,7,,,
00795,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,7,,,
00810,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,7,,,
00825,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,7,,,
00840,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,8,,,
00855,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,8,,,
00870,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,8,,,
00885,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,8,,,
00900,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,8,,,
00915,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,9,,,
00930,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,9,,,
00945,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,9,,,
00960,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,9,,,
00975,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,9,,,
00990,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,9,,,
01005,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Barbarian Barrel,6.0,,,,10,,,
01020,Lava Hound,59.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01035,Lava Hound,59.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01050,Lava Hound,59.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01065,Lava Hound,59.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01080,Lava Hound,59.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01095,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,9,,,
01110,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,9,,,
01125,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,9,,,
01140,Three Musketeers,99.0,Hunter,52.0,Ram Rider,82.0,Elixir Collector,26.0,,,,9,,,
01155,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Furnace,35.0,,,,5,,,
01170,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,5,,,
01185,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,6,,,
01200,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,6,,,
01215,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,6,,,
01230,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,6,,,
01245,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,6,,,
01260,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,7,,,
01275,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,7,,,
01290,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,7,,,
01305,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,7,,,
01320,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,7,,,
01335,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,7,,,
01350,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01365,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01380,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01395,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
01410,Three Musketeers,99.0,Royal Ghost,86.0,Ram Rider,82.0,Elixir Collector,26.0,,,,8,,,
