frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,6,,,
00240,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,6,,,
00255,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,6,,,
00270,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,6,,,
00285,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00300,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00315,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00330,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00345,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00360,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00375,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00390,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00405,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00420,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00435,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00450,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,9,,,
00465,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,9,,,
00480,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,9,,,
00495,Archers,1.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,9,,,
00510,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,6,,,
00525,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00540,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00555,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00570,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00585,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00600,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,7,,,
00615,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00630,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00645,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00660,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00675,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00690,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,8,,,
00705,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,9,,,
00720,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,9,,,
00735,X,106.0,Skeletons,94.0,The Log,98.0,Tesla,97.0,,,,9,,,
00750,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,10,,,
00765,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,10,,,
00780,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,8,,,
00795,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,8,,,
00810,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,8,,,
00825,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,8,,,
00840,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,8,,,
00855,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,8,,,
00870,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,9,,,
00885,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,9,,,
00900,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,9,,,
00915,X,106.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,9,,,
00930,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,3,,,
00945,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,4,,,
00960,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,4,,,
00975,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,4,,,
00990,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,4,,,
01005,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,4,,,
01020,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,4,,,
01035,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,5,,,
01050,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,5,,,
01065,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Tesla,97.0,,,,5,,,
01080,Ice Golem,53.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,3,,,
01095,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,0,,,
01110,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,0,,,
01125,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,1,,,
01140,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,1,,,
01155,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,1,,,
01170,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,1,,,
01185,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,1,,,
01200,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,2,,,
01215,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,2,,,
01230,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,2,,,
01245,Ice Golem,53.0,Archers,1.0,Ice Spirit,54.0,Tesla,97.0,,,,2,,,
