frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Goblins,45.0,,,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
00240,Goblins,45.0,,,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
00255,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
00270,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,7,,,
00285,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,7,,,
00300,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,7,,,
00315,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,7,,,
00330,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,7,,,
00345,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,7,,,
00360,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,8,,,
00375,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,8,,,
00390,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,8,,,
00405,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,8,,,
00420,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,8,,,
00435,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,9,,,
00450,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,9,,,
00465,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,9,,,
00480,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,9,,,
00495,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,9,,,
00510,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,9,,,
00525,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00540,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00555,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00570,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00585,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00600,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00615,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00630,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00645,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00660,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00675,Goblins,45.0,Lava Hound,59.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,10,,,
00690,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,3,,,
00705,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,3,,,
00720,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,3,,,
00735,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,3,,,
00750,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,3,,,
00765,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,4,,,
00780,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,4,,,
00795,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,4,,,
00810,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,4,,,
00825,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,4,,,
00840,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,4,,,
00855,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,5,,,
00870,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,5,,,
00885,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,5,,,
00900,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,5,,,
00915,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,5,,,
00930,Goblins,45.0,Baby Dragon,3.0,Sparky,95.0,Miner,66.0,,,,5,,,
00945,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
00960,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
00975,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
00990,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
01005,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,6,,,
01020,Goblins,45.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,Miner,66.0,,,,7,,,
01035,Goblins,45.0,Baby Dragon,3.0,Fireball,30.0,Miner,66.0,,,,3,,,
01050,Goblins,45.0,Baby Dragon,3.0,Fireball,30.0,Miner,66.0,,,,3,,,
