frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00255,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,6,False,False,0.0,0.0
00270,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,6,False,False,0.0,0.0
00285,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,7,False,False,0.0,0.0
00300,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,7,False,False,0.0,0.0
00315,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,7,False,False,0.0,0.0
00330,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,7,False,False,0.0,0.0
00345,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,7,False,False,0.0,0.0
00360,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,7,False,False,0.0,0.0
00375,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,8,False,False,0.0,0.0
00390,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,8,False,False,0.0,0.0
00405,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,8,False,False,0.0,0.0
00420,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,8,False,False,0.0,0.0
00435,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,8,False,False,0.0,0.0
00450,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,9,False,False,0.0,0.0
00465,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,9,False,False,0.0,0.0
00480,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,9,False,False,0.0,0.0
00495,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,9,False,False,0.0,0.0
00510,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,9,False,False,0.0,0.0
00525,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,9,False,False,0.0,0.0
00540,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,10,False,False,0.0,0.0
00555,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Bandit,5.0,,,,10,False,False,0.0,0.0
00570,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,Bandit,5.0,4.0,7,True,True,3.0,3.0
00585,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,7,False,False,0.0,0.0
00600,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,7,False,False,0.0,0.0
00615,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,7,False,False,0.0,0.0
00630,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,7,False,False,0.0,0.0
00645,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,8,False,False,0.0,0.0
00660,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,8,False,False,0.0,0.0
00675,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,8,False,False,0.0,0.0
00690,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,8,False,False,0.0,0.0
00705,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,8,False,False,0.0,0.0
00720,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,8,False,False,0.0,0.0
00735,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,9,False,False,0.0,0.0
00750,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,9,False,False,0.0,0.0
00765,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,9,False,False,0.0,0.0
00780,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,9,False,False,0.0,0.0
00795,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,9,False,False,0.0,0.0
00810,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,9,False,False,0.0,0.0
00825,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,10,False,False,0.0,0.0
00840,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,10,False,False,0.0,0.0
00855,Electro Wizard,24.0,Baby Dragon,3.0,Dark Prince,18.0,Battle Ram,11.0,,,,10,False,False,0.0,0.0
00870,Electro Wizard,24.0,Baby Dragon,3.0,P.E.K.K.A,76.0,Battle Ram,11.0,Dark Prince,18.0,3.0,6,True,True,4.0,4.0
00885,Electro Wizard,24.0,Baby Dragon,3.0,P.E.K.K.A,76.0,Battle Ram,11.0,,,,6,False,False,0.0,0.0
00900,Electro Wizard,24.0,Baby Dragon,3.0,P.E.K.K.A,76.0,Battle Ram,11.0,,,,6,False,False,0.0,0.0
00915,Electro Wizard,24.0,Baby Dragon,3.0,P.E.K.K.A,76.0,Battle Ram,11.0,,,,6,False,False,0.0,0.0
00930,Electro Wizard,24.0,Baby Dragon,3.0,P.E.K.K.A,76.0,Battle Ram,11.0,,,,6,False,False,0.0,0.0
00945,Electro Wizard,24.0,Baby Dragon,3.0,P.E.K.K.A,76.0,Battle Ram,11.0,,,,7,False,False,0.0,0.0
00960,Electro Wizard,24.0,Baby Dragon,3.0,P.E.K.K.A,76.0,Battle Ram,11.0,,,,7,False,False,0.0,0.0
