frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
00255,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
00270,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00285,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00300,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00315,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00330,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00345,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00360,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00375,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00390,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00405,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00420,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00435,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00450,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00465,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00480,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00495,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00510,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00525,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00540,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00555,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00570,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00585,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00600,Skeleton Army,90.0,Skeleton Dragons,92.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00615,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,Skeleton Dragons,92.0,2.0,6,True,True,,Skeleton Dragons,4.0
00630,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
00645,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
00660,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
00675,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
00690,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00705,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00720,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00735,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00750,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00765,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
00780,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00795,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00810,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00825,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00840,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00855,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
00870,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00885,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00900,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00915,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00930,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
00945,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00960,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00975,Skeleton Army,90.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,10,False,False,,,
00990,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,Prince,79.0,2.0,5,True,True,,Prince,5.0
01005,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01020,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01035,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01050,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01065,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01080,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01095,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01110,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01125,Skeleton Army,90.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01140,Baby Dragon,3.0,Witch,104.0,Tornado,101.0,Zap,107.0,Skeleton Army,90.0,1.0,3,True,True,,Skeleton Army,3.0
01155,Baby Dragon,3.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01170,Baby Dragon,3.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01185,Baby Dragon,3.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01200,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,Baby Dragon,3.0,1.0,0,True,True,,Baby Dragon,4.0
01215,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,0,False,False,,,
01230,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,0,False,False,,,
01245,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01260,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01275,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01290,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01305,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01320,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
01335,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
01350,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
01365,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
01380,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
01395,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
01410,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
01425,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
01440,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
01455,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
01470,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
01485,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01500,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01515,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01530,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01545,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01560,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
01575,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01590,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01605,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01620,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01635,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,5,False,False,,,
01650,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01665,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01680,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01695,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01710,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01725,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,6,False,False,,,
01740,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
01755,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
01770,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
01785,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
01800,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
01815,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,7,False,False,,,
01830,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
01845,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
01860,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
01875,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
01890,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,8,False,False,,,
01905,Golem,47.0,Witch,104.0,Tornado,101.0,Zap,107.0,,,,9,False,False,,,
01920,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,Witch,104.0,2.0,1,True,True,,Witch,5.0
01935,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01950,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01965,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01980,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
01995,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02010,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02025,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02040,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02055,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02070,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02085,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02100,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02115,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02130,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02145,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02160,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
02175,Skeleton Dragons,92.0,Tornado,101.0,Tornado,101.0,Zap,107.0,,,,4,False,False,,,
02190,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,Tornado,101.0,2.0,0,True,True,,Tornado,3.0
02205,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,0,False,False,,,
02220,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,0,False,False,,,
02235,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,0,False,False,,,
02250,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
02265,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
02280,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
02295,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
02310,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,1,False,False,,,
02325,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02340,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02355,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02370,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02385,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02400,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,2,False,False,,,
02415,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02430,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02445,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Zap,107.0,,,,3,False,False,,,
02460,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,Zap,107.0,4.0,1,True,True,,Zap,2.0
02475,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,1,False,False,,,
02490,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,2,False,False,,,
02505,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,2,False,False,,,
02520,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,2,False,False,,,
02535,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,2,False,False,,,
02550,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,2,False,False,,,
02565,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,2,False,False,,,
02580,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,3,False,False,,,
02595,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,3,False,False,,,
02610,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,3,False,False,,,
02625,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,3,False,False,,,
02640,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,3,False,False,,,
02655,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,3,False,False,,,
02670,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,4,False,False,,,
02685,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,4,False,False,,,
02700,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,4,False,False,,,
02715,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,4,False,False,,,
02730,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,4,False,False,,,
02745,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,5,False,False,,,
02760,Skeleton Dragons,92.0,Prince,79.0,Tornado,101.0,Skeleton Army,90.0,,,,5,False,False,,,
02775,Skeleton Dragons,92.0,Baby Dragon,3.0,Tornado,101.0,Skeleton Army,90.0,Prince,79.0,2.0,0,True,True,,Prince,5.0
02790,Skeleton Dragons,92.0,Baby Dragon,3.0,Tornado,101.0,Skeleton Army,90.0,,,,0,False,False,,,
02805,Skeleton Dragons,92.0,Baby Dragon,3.0,Tornado,101.0,Skeleton Army,90.0,,,,0,False,False,,,
02820,Skeleton Dragons,92.0,Baby Dragon,3.0,Tornado,101.0,Skeleton Army,90.0,,,,0,False,False,,,
02835,Skeleton Dragons,92.0,Baby Dragon,3.0,Tornado,101.0,Skeleton Army,90.0,,,,1,False,False,,,
