frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
00255,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
00270,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
00285,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
00300,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
00315,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
00330,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
00345,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
00360,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00375,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00390,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00405,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00420,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00435,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00450,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00465,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00480,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00495,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00510,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
00525,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00540,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00555,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00570,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00585,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
00600,Archers,1.0,,,Ice Golem,53.0,The Log,98.0,,,,3.0,,,
00615,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4.0,,,
00630,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4.0,,,
00645,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4.0,,,
00660,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4.0,,,
00675,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4.0,,,
00690,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5.0,,,
00705,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5.0,,,
00720,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5.0,,,
00735,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5.0,,,
00750,,,Skeletons,94.0,,,The Log,98.0,,,,1.0,,,
00765,,,Skeletons,94.0,,,The Log,98.0,,,,1.0,,,
00780,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2.0,,,
00795,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2.0,,,
00810,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2.0,,,
00825,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2.0,,,
00840,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2.0,,,
00855,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2.0,,,
00870,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3.0,,,
00885,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3.0,,,
00900,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3.0,,,
00915,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3.0,,,
00930,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3.0,,,
00945,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,4.0,,,
