frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,6,,,
00255,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,6,,,
00270,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,6,,,
00285,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00300,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00315,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00330,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00345,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00360,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00375,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00390,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00405,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00420,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00435,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00450,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00465,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00480,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00495,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00510,Skeletons,94.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00525,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00540,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00555,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00570,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00585,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00600,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00615,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,10,,,
00630,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,10,,,
00645,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,10,,,
00660,X,106.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,10,,,
00675,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,4,,,
00690,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,4,,,
00705,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,4,,,
00720,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,4,,,
00735,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,4,,,
00750,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,5,,,
00765,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,5,,,
00780,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,5,,,
00795,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,5,,,
00810,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,5,,,
00825,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,,,,,,5,,,
00840,The Log,98.0,Ice Wizard,55.0,Tesla,97.0,Rocket,84.0,,,,6,,,
00855,The Log,98.0,Null,75.0,Goblin Drill,41.0,,,,,,3,,,
